node,closs
2,0.0
3,0.0
4,0.0003294475418144957
5,9.552029318881827e-05
6,0.0003236452286868196
7,5.74185064808481e-05
8,0.05920910604717212
9,0.0
10,0.0
11,0.0
13,1.169636243128387e-05
14,0.0
15,0.04000999994370962
16,9.746968692736559e-05
17,1.169636243128387e-05
18,0.0
19,0.04093236837917885
20,0.0
22,0.0
23,5.8969160591056184e-05
24,0.0001742667332785085
25,0.0
26,0.04631309884992759
27,0.00019891172335969551
28,3.655113259776209e-05
30,0.0
31,0.0
34,0.00010264307800274115
36,0.0
37,0.0
38,7.797574954189248e-06
39,2.3880073297204567e-05
40,0.00013787958321773524
42,0.0008045600496816919
43,0.035605856387248426
44,0.0001343582145952609
45,0.0002631903069054615
46,0.0
47,3.898787477094624e-06
48,3.898787477094624e-06
49,3.898787477094624e-06
50,7.017817458770323e-05
51,0.034508207059950946
52,1.9493937385473118e-05
53,2.7291512339662364e-05
54,0.0
55,7.797574954189248e-06
56,5.0684237202230105e-05
57,0.00010916604935864946
58,0.0
59,0.0008085478039280604
61,0.0
62,6.238059963351398e-05
63,0.0002383497538235758
65,0.03640973490710438
66,7.017817458770322e-06
67,7.797574954189248e-06
68,0.030336168072158227
69,5.198383302792831e-06
70,0.0
71,0.041567126168518626
72,1.5595149908378492e-05
73,3.8987874770946236e-05
74,0.0
76,0.03736395972646292
77,0.051150629204774783
78,0.047244019172986755
79,5.458302467932473e-05
80,0.04913768842095257
81,0.040668811702015244
83,4.33951997450532e-05
84,0.05000103975242969
85,3.898787477094624e-06
86,0.0007296353533437604
88,0.09957421143803252
89,6.62793871106086e-05
90,3.898787477094624e-06
91,0.0002598373008356606
92,0.00024172482357986665
93,5.930260952001823e-05
94,0.04506622866997567
95,3.508908729385161e-05
96,1.62449478212276e-05
97,0.0
99,2.0050907025058064e-05
101,0.0
102,0.0
103,0.0
104,1.2476119926702797e-05
106,0.0005205950751687767
107,3.898787477094624e-06
108,1.9493937385473118e-05
110,0.0
113,0.0
114,3.1580178564466455e-05
115,0.0
116,3.898787477094624e-06
117,0.0
119,0.0
120,0.0
121,0.0
122,0.0
124,4.377092332532005e-05
125,0.0
126,0.0
128,3.898787477094624e-06
130,0.0
131,0.0
133,0.0
134,8.91151423335914e-06
136,0.0
137,2.339272486256774e-05
138,0.03725975634304739
140,1.7544543646925807e-05
141,3.898787477094624e-06
142,2.7724710948228434e-05
143,0.03890567374584906
145,3.508908729385161e-05
146,3.898787477094624e-06
147,0.0
148,0.0
149,0.0
151,7.797574954189248e-06
152,0.0
153,0.0
154,3.898787477094624e-06
155,0.0
157,2.0050907025058064e-05
159,1.5595149908378495e-05
161,8.967211197317634e-05
162,3.898787477094624e-06
163,7.751706866223427e-05
167,0.0
168,4.288666224804086e-05
171,0.00023297632485077627
173,3.898787477094624e-06
